Parent Type,Parent ID,Asset ID,Asset Name,Asset Description,Asset Function,Asset Make,Asset Model,Asset Part Number,Asset Serial Number,Security Zone,Asset Firmware,Redundant Asset Pair ID (If Applicable),Asset Contact Person,Comments
Cabinet,U11_S1_SS1_B1_R1_C1,U11_S1_SS1_B1_R1_C1_SW15,OT Ethernet Switch,ACME OT Ethernet Switch,Switch,TP Link,,TL-SF1008D,,,2.0.001,,,
Cabinet,U11_S1_SS1_B2_R1_C1,U11_S1_SS1_B2_R1_C1_MOD3,GSM Modem,ACME GSM Modem,Modem,Maestro,M100 3G,,,,12.2 (35R)SEY3,,,
Cabinet,U11_S1_SS1_B2_R1_C1,U11_S1_SS1_B2_R1_C1_NZ7,Vulnerability Management,ACME Vulnerability Management,Vulnerability Management,Nozomi Networks,NSG-L 100,NSGL-HW-P,2038BA1486,,15.2 (3R)E1,,,
Cabinet,U11_S1_SS1_B2_R1_C1,U11_S1_SS1_B2_R1_C1_SW2,IT Ethernet Switch,ACME IT Ethernet Switch,Switch,Cisco,Catalyst 2960,,,,2.0.001,,,
Cabinet,U11_S1_SS2_B2_R1_C1,U11_S1_SS2_B2_R1_C1_FW10,Security Firewall,ACME Security Firewall,Firewall,Fortinet,FortiGate®,FG-3950B,,,12.2 (25R)SEE4 ,,,
Cabinet,U11_S1_SS2_B2_R1_C1,U11_S1_SS2_B2_R1_C1_FW13,Security Firewall,ACME Security Firewall,Firewall,Fortinet,FortiGate®,FG-3140B,,,12.2 (44R)SE4,,,
Cabinet,U11_S1_SS2_B2_R1_C1,U11_S1_SS2_B2_R1_C1_FW69,Security Firewall,ACME Security Firewall,Firewall,Palo Alto,PA-3220,34961451,16201030117,,16.6.7,,,
Cabinet,U11_S1_SS3_B1_R1_C1,U11_S1_SS3_B1_R1_C1_FW55,Security Firewall,ACME Security Firewall,Firewall,Palo Alto,PA-220,910-000128-00N,12801214664,,15.2(7)E4,,,
Cabinet,U11_S1_SS3_B1_R1_C1,U11_S1_SS3_B1_R1_C1_FW57,Security Firewall,ACME Security Firewall,Firewall,Palo Alto,PA-220,910-000128-00N,12801214672,,16.8.1r,,,
Cabinet,U11_S1_SS3_B1_R1_C1,U11_S1_SS3_B1_R1_C1_FW66,Security Firewall,ACME Security Firewall,Firewall,Palo Alto,PA-220,,012801224060,,12.2 (53r) SEY3,,,
Cabinet,U11_S1_SS3_B1_R1_C1,U11_S1_SS3_B1_R1_C1_FW8,Security Firewall,ACME Security Firewall,Firewall,Fortinet,FortiGate®,FG-4200F,,,V15.2(7)e4,,,
Cabinet,U11_S1_SS3_B2_R1_C1,U11_S1_SS3_B2_R1_C1_FW20,Security Firewall,ACME Security Firewall,Firewall,Fortinet,FortiGate®,FG-1000C,,,20.0.4.5,,,
Cabinet,U11_S1_SS3_B2_R1_C1,U11_S1_SS3_B2_R1_C1_NZ23,Vulnerability Management,ACME Vulnerability Management,Vulnerability Management,Nozomi Networks,NSG-L 100,NSGL-HW-P,2128BA0389,,16.8.1r,,,
Cabinet,U11_S1_SS4_B2_R1_C1,U11_S1_SS4_B2_R1_C1_FW25,Security Firewall,ACME Security Firewall,Firewall,Fortinet,FortiGate®,FG-300C,,,12.2 (44)SE5 ,,,
Cabinet,U11_S1_SS4_B2_R1_C1,U11_S1_SS4_B2_R1_C1_FW65,Security Firewall,ACME Security Firewall,Firewall,Palo Alto,PA-220,,012801223323,,12.2 (44R)SE4,,,
Cabinet,U11_S1_SS4_B2_R1_C1,U11_S1_SS4_B2_R1_C1_MOD2,GSM Modem,ACME GSM Modem,Modem,Sixnet,BT-6801,,,,12.2 (25R)SEE4 ,,,
Cabinet,U11_S1_SS5_B1_R1_C1,U11_S1_SS5_B1_R1_C1_FW28,Security Firewall,ACME Security Firewall,Firewall,Fortinet,FortiGate®,FG-100D,,,15.2 (3R)E1,,,
Cabinet,U11_S1_SS5_B1_R1_C1,U11_S1_SS5_B1_R1_C1_FW55,Security Firewall,ACME Security Firewall,Firewall,Palo Alto,PA-220,910-000128-00N,12801214664,,15.2(7)E4,,,
Cabinet,U11_S1_SS5_B1_R1_C1,U11_S1_SS5_B1_R1_C1_GW1,Main Gateway,ACME Main Gateway,Gateway,korenix,JetCon 2302,,,,15.2 (3R)E1,,,
Cabinet,U11_S1_SS5_B1_R1_C1,U11_S1_SS5_B1_R1_C1_RTR11,APN Router,ACME APN Router,Router,INSYS,MRXS LTE,,,,10.0.5,,,
Cabinet,U11_S1_SS5_B2_R1_C1,U11_S1_SS5_B2_R1_C1_FW35,Security Firewall,ACME Security Firewall,Firewall,Palo Alto,PA-820,,,,10.0.5,,,
