Parent,Standard Name,Clause Number,Clause Title,Clause Description,Applicable,Applicability,Heading
,DESC-ICS,1,Information Security Management and Governance,,Yes,Company,Yes
,DESC-ICS,2,ICS Asset Management,,Yes,Company,Yes
2,DESC-ICS,2.1,ICS Asset Management,,Yes,Company,Yes
2.1,DESC-ICS,2.1.1,ICS Asset Management,"Develops, distributes and maintains an ICS asset management policy and procedures that are aligned with the organization wide information asset management policy and procedure for the identification, management and protection of ICS assets in line with applicable laws and regulations.",Yes,Company,No
2.1,DESC-ICS,2.1.2,ICS Asset Management,"Identifies, documents, and maintains an asset register of all critical ICS assets for the entire ICS environment, including the related ICS facilities and components, such as PLCs, RTUs, SCADA/DCS servers, engineering stations, operators stations, network devices, software assets, people assets, physical assets, etc. and consider other details such as, asset classification, physical location, license details, business value, and any other necessary information that may be required to avoid risks and recover from disasters.",Yes,Company,No
2.1,DESC-ICS,2.1.3,ICS Asset Management,The organization appoints designated employees with the responsibility to perform periodic review of the asset management register and enforce policies and procedures to periodically update the register for accuracy,Yes,Company,No
2.1,DESC-ICS,2.1.4,ICS Asset Management,"In case of utilizing asset inventory tools, the organization ensures appropriate testing of the tool in non-production environments prior to deployment in the ICS production environment.",Yes,Company,No
2.1,DESC-ICS,2.1.5,ICS Asset Management,Keeps inventory of all physical access devices owned by the organization.,Yes,Company,No
2,DESC-ICS,2.2,ICS Assets Ownership/Custodianship,,Yes,Company,Yes
2.2,DESC-ICS,2.2.1,ICS Assets Ownership/Custodianship,"Establishes and implements ICS asset ownership policy, where ICS assets are identified with an owner. Business processes, services, applications, ICS systems, or set of data are examples of assets that ownership should be allocated to.",Yes,Company,No
2.2,DESC-ICS,2.2.2,ICS Assets Ownership/Custodianship,Assigns the ICS assets owner the responsibility of ensuring that classifications of ICS assets are carried out based on the sensitivity of operations.,Yes,Company,No
2.2,DESC-ICS,2.2.3,ICS Assets Ownership/Custodianship,Assigns the ICS assets owner the responsibility of defining the access control (physical & logical) to the ICS assets and ensuring periodic review of access in accordance with assigned classification level and the organization’s access control policy.,Yes,Company,No
2.2,DESC-ICS,2.2.4,ICS Assets Ownership/Custodianship,"Assigns the owner the responsibility of maintaining the day to day operational tasks related to the ICS assets, while considering the higher authority of the assets by the owners.",Yes,Company,No
2,DESC-ICS,2.3,ICS Assets Classification,,Yes,Company,Yes
