Parent Type,Parent ID,Asset ID,Asset Name,Asset Description,Asset Function,Asset Make,Asset Model,Asset Part Number,Asset Serial Number,Security Zone,Operating System,VM Host,Connected SCADA Server,Asset Contact Person,Comments
Room,U11_S1_SS1_B1_R1,U11_S1_SS1_B1_R1_OWS29,Operator WS,Operator Workstation,Workstation,Lenovo,V530S,,4CE208CV9Q,,Windows | Server 2008,,,,
Room,U11_S1_SS1_B1_R1,U11_S1_SS1_B1_R1_SRVR29,HMI,HMI Server,Server,HP,ProLiant DL380 Gen10,,CZ29490PNH,,Windows | Server 2019 Datacenter,,,,
Room,U11_S1_SS1_B2_R1,U11_S1_SS1_B2_R1_OWS24,Operator WS,Operator Workstation,Workstation,HP,EliteDesk 800 G6 Small,,4CE208CV9Q,,Windows | 7 Professional,,,,
Room,U11_S1_SS1_B2_R1,U11_S1_SS1_B2_R1_SRVR1,Historian,Historian Server,Server,Dell,PLC Panel PC,,CZJ44209SW      ,,Linux,,,,
Room,U11_S1_SS1_B2_R1,U11_S1_SS1_B2_R1_SRVR57,Application,Application Server,Server ,Dell,PowerEdge R220,,CZ29490PNT,,Windows | Server 2016 Datacenter,,,,
Room,U11_S1_SS2_B1_R1,U11_S1_SS2_B1_R1_OWS10,Operator WS,Operator Workstation,Workstation,HP,EliteDesk 800 G4 WKS TWR,,CZC9509H6Y,,Windows | 7 Ultimate,,,,
Room,U11_S1_SS2_B1_R1,U11_S1_SS2_B1_R1_OWS21,Operator WS,Operator Workstation,Workstation,HP,EliteDesk 800 G6 Small,,4CE207BFD0,,Linux,,,,
Room,U11_S1_SS2_B1_R1,U11_S1_SS2_B1_R1_SRVR24,HMI,HMI Server,Server,HP,ProLiant DL380 Gen10,,CZ29490PN7,,Windows | Server 2008,,,,
Room,U11_S1_SS2_B1_R1,U11_S1_SS2_B1_R1_SRVR68,Web,Web Server,Server ,Dell,PowerEdge T40,,FWKGG52,,Windows | Server 2003,,,,
Room,U11_S1_SS2_B2_R1,U11_S1_SS2_B2_R1_EWS26,Engineering WS,Engineering Workstation,Workstation,HP,EliteDesk 800 G1 SFF,,TRF5160063,,Windows | 8 Professional,,,,
Room,U11_S1_SS2_B2_R1,U11_S1_SS2_B2_R1_SRVR49,Application,Application Server,Server,HP,ProLiant ML350 Gen10,,CZJ9490CR2,,Windows | 7 Professional,,,,
Room,U11_S1_SS3_B1_R1,U11_S1_SS3_B1_R1_SRVR19,SCADA,SCADA Server,Server,HP,ProLiant DL380 Gen10,,CZ21270CSC,,Windows | 7 Professional,,,,
Room,U11_S1_SS3_B1_R1,U11_S1_SS3_B1_R1_SRVR42,DNS,DNS Server,Server,HP,ProLiant DL380 Gen10,,CZ29490PNZ,,Windows | Server 2016 Datacenter,,,,
Room,U11_S1_SS4_B1_R1,U11_S1_SS4_B1_R1_EWS13,Engineering WS,Engineering Workstation,Workstation,HP,Compaq 8200 Elite SFF PC,,CZC203018R,,Windows | Server 2003,,,,
Room,U11_S1_SS4_B2_R1,U11_S1_SS4_B2_R1_OWS18,Operator WS,Operator Workstation,Workstation,HP,EliteDesk 800 G5 TWR,,CZC9509H70,,Windows | Server 2019,,,,
Room,U11_S1_SS4_B2_R1,U11_S1_SS4_B2_R1_SRVR1,Historian,Historian Server,Server,Dell,PLC Panel PC,,CZJ44209SW      ,,Linux,,,,
Room,U11_S1_SS5_B1_R1,U11_S1_SS5_B1_R1_EWS21,Engineering WS,Engineering Workstation,Workstation,HP,EliteDesk 800 G1 SFF,,TRF4200N8V,,Linux,,,,
Room,U11_S1_SS5_B1_R1,U11_S1_SS5_B1_R1_SRVR20,SCADA,SCADA Server,Server,HP,ProLiant DL380 Gen10,,CZ2928012J,,Windows | 7 Ultimate,,,,
Room,U11_S1_SS5_B2_R1,U11_S1_SS5_B2_R1_SRVR44,Application,Application Server,Server,HP,ProLiant DL380 Gen8,,CZ29490PNR,,Windows | Server 2019 Datacenter,,,,
Room,U11_S1_SS5_B2_R1,U11_S1_SS5_B2_R1_SRVR54,Application,Application Server,Server,HP,ProLiant ML350 Gen10,,CZJ9490CR7,,Windows | Server 2008,,,,
Room,U11_S2_SS1_B1_R1,U11_S2_SS1_B1_R1_OWS22,Operator WS,Operator Workstation,Workstation,HP,EliteDesk 800 G6 Small,,4CE208CV41,,Windows | 10 Enterprise,,,,
Room,U11_S2_SS1_B1_R1,U11_S2_SS1_B1_R1_OWS9,Operator WS,Operator Workstation,Workstation,HP,EliteDesk 800 G4 WKS TWR,,CZC9509H6W,,Windows | 7 Professional,,,,
Room,U11_S2_SS1_B1_R1,U11_S2_SS1_B1_R1_SRVR16,SCADA,SCADA Server,Server,HP,ProLiant DL380 Gen10,,CZ210205ZL,,Linux,,,,
Room,U11_S2_SS1_B1_R1,U11_S2_SS1_B1_R1_SRVR21,SCADA,SCADA Server,Server,HP,ProLiant DL380 Gen10,,CZ2928012K,,Windows | 8 Professional,,,,
Room,U11_S2_SS1_B1_R1,U11_S2_SS1_B1_R1_SRVR59,Mail,Mail Server,Server ,Dell,PowerEdge R320,,CZJ9490CR2,,Windows | Server 2019 Datacenter,,,,
Room,U11_S2_SS1_B2_R1,U11_S2_SS1_B2_R1_EWS1,Engineering WS,Engineering Workstation,Workstation,Dell,Optiplex 5050 Mini Tower,,190SFS2,,Windows | Server 2016,,,,
Room,U11_S2_SS1_B2_R1,U11_S2_SS1_B2_R1_OWS22,Operator WS,Operator Workstation,Workstation,HP,EliteDesk 800 G6 Small,,4CE208CV41,,Windows | 10 Enterprise,,,,
Room,U11_S2_SS1_B2_R1,U11_S2_SS1_B2_R1_SRVR17,SCADA,SCADA Server,Server,HP,ProLiant DL380 Gen10,,CZ210205ZM,,Windows | 10 Enterprise,,,,
Room,U11_S2_SS1_B2_R1,U11_S2_SS1_B2_R1_SRVR38,HMI,HMI Server,Server,HP,ProLiant DL380 Gen10,,CZ29490PNV,,Windows | Server 2003,,,,
Room,U11_S2_SS1_B2_R1,U11_S2_SS1_B2_R1_SRVR49,Application,Application Server,Server,HP,ProLiant ML350 Gen10,,CZJ9490CR2,,Windows | 7 Professional,,,,
Room,U11_S2_SS1_B2_R1,U11_S2_SS1_B2_R1_SRVR54,Application,Application Server,Server,HP,ProLiant ML350 Gen10,,CZJ9490CR7,,Windows | Server 2008,,,,
Room,U11_S2_SS1_B2_R1,U11_S2_SS1_B2_R1_SRVR60,Mail,Mail Server,Server ,Dell,PowerEdge R710,,CZJ9490CR3,,Windows | XP,,,,
Room,U11_S2_SS2_B1_R1,U11_S2_SS2_B1_R1_SRVR4,Historian,Historian Server,Server,HP,ProLiant DL360e Gen8,,CZJ44209T1      ,,Windows | 7 Professional,,,,
Room,U11_S2_SS2_B2_R1,U11_S2_SS2_B2_R1_SRVR35,HMI,HMI Server,Server,HP,ProLiant DL380 Gen10,,CZ29490PNR,,Windows | 7 Ultimate,,,,
Room,U11_S2_SS3_B1_R1,U11_S2_SS3_B1_R1_EWS24,Engineering WS,Engineering Workstation,Workstation,HP,EliteDesk 800 G1 SFF,,TRF5150GG8,,Windows | 7 Professional,,,,
Room,U11_S2_SS3_B1_R1,U11_S2_SS3_B1_R1_EWS3,Engineering WS,Engineering Workstation,Workstation,Dell,OptiPlex 7010,,5MNYJY1,,Windows | Server 2019,,,,
Room,U11_S2_SS3_B1_R1,U11_S2_SS3_B1_R1_OWS24,Operator WS,Operator Workstation,Workstation,HP,EliteDesk 800 G6 Small,,4CE208CV9Q,,Windows | 7 Professional,,,,
Room,U11_S2_SS3_B1_R1,U11_S2_SS3_B1_R1_SRVR23,SCADA,SCADA Server,Server,HP,ProLiant DL380 Gen10,,CZ29490PN6,,Windows | Server 2003,,,,
Room,U11_S2_SS3_B2_R1,U11_S2_SS3_B2_R1_EWS18,Engineering WS,Engineering Workstation,Workstation,HP,Elite Desktop 800G1,,TRF51003BM,,Windows | Server 2019,,,,
Room,U11_S2_SS3_B2_R1,U11_S2_SS3_B2_R1_OWS22,Operator WS,Operator Workstation,Workstation,HP,EliteDesk 800 G6 Small,,4CE208CV41,,Windows | 10 Enterprise,,,,
Room,U11_S2_SS3_B2_R1,U11_S2_SS3_B2_R1_SRVR25,HMI,HMI Server,Server,HP,ProLiant DL380 Gen10,,CZ29490PN8,,Windows | Server 2012,,,,
Room,U11_S2_SS3_B2_R1,U11_S2_SS3_B2_R1_SRVR26,HMI,HMI Server,Server,HP,ProLiant DL380 Gen10,,CZ29490PNB,,Windows | Server 2016,,,,
Room,U11_S2_SS3_B2_R1,U11_S2_SS3_B2_R1_SRVR29,HMI,HMI Server,Server,HP,ProLiant DL380 Gen10,,CZ29490PNH,,Windows | Server 2019 Datacenter,,,,
Room,U11_S2_SS3_B2_R1,U11_S2_SS3_B2_R1_SRVR39,DNS,DNS Server,Server,HP,ProLiant DL380 Gen10,,CZ29490PNW,,Windows | Server 2008,,,,
Room,U11_S2_SS3_B2_R1,U11_S2_SS3_B2_R1_SRVR5,Historian,Historian Server,Server,HP,ProLiant DL360e Gen8,,CZJ44209SW      ,,Windows | 7 Ultimate,,,,
Room,U11_S2_SS4_B2_R1,U11_S2_SS4_B2_R1_EWS5,Engineering WS,Engineering Workstation,Workstation,Dell,Optiplex 7050,,CZC1325PTR,,Windows | XP,,,,
Room,U11_S2_SS4_B2_R1,U11_S2_SS4_B2_R1_OWS30,Operator WS,Operator Workstation,Workstation,Lenovo,V530S,,CP3CF2S,,Windows | Server 2012,,,,
Room,U11_S2_SS4_B2_R1,U11_S2_SS4_B2_R1_SRVR56,Application,Application Server,Server ,Dell,PowerEdge 1900,,CZ29490PNS,,Windows | Server 2016,,,,
Room,U11_S2_SS4_B2_R1,U11_S2_SS4_B2_R1_SRVR68,Web,Web Server,Server ,Dell,PowerEdge T40,,FWKGG52,,Windows | Server 2003,,,,
Room,U11_S2_SS5_B1_R1,U11_S2_SS5_B1_R1_OWS16,Operator WS,Operator Workstation,Workstation,HP,EliteDesk 800 G4 WKS TWR,,CZC9509H7B,,Windows | Server 2016,,,,
Room,U11_S2_SS5_B1_R1,U11_S2_SS5_B1_R1_OWS6,Operator WS,Operator Workstation,Workstation,HP,EliteDesk 800 G4 WKS TWR,,CZC9509H77,,Linux,,,,
Room,U11_S2_SS5_B1_R1,U11_S2_SS5_B1_R1_SRVR66,Web,Web Server,Server ,Dell,PowerEdge R740,,8V1YHP2,,Windows | 8 Professional,,,,
Room,U11_S2_SS5_B2_R1,U11_S2_SS5_B2_R1_EWS12,Engineering WS,Engineering Workstation,Workstation,HP,Compaq 6200 Pro SFF PC,,CZC1325PTR,,Windows | Server 2000,,,,
Room,U11_S2_SS5_B2_R1,U11_S2_SS5_B2_R1_EWS30,Engineering WS,Engineering Workstation,Workstation,HP,EliteDesk 800 G1 SFF,,TRF5150GH6,,Windows | Server 2012,,,,
Room,U11_S2_SS5_B2_R1,U11_S2_SS5_B2_R1_OWS11,Operator WS,Operator Workstation,Workstation,HP,EliteDesk 800 G4 WKS TWR,,CZC9509H70,,Windows | 8 Professional,,,,
Room,U11_S2_SS5_B2_R1,U11_S2_SS5_B2_R1_OWS30,Operator WS,Operator Workstation,Workstation,Lenovo,V530S,,CP3CF2S,,Windows | Server 2012,,,,
Room,U11_S2_SS5_B2_R1,U11_S2_SS5_B2_R1_SRVR25,HMI,HMI Server,Server,HP,ProLiant DL380 Gen10,,CZ29490PN8,,Windows | Server 2012,,,,
Room,U11_S2_SS5_B2_R1,U11_S2_SS5_B2_R1_SRVR38,HMI,HMI Server,Server,HP,ProLiant DL380 Gen10,,CZ29490PNV,,Windows | Server 2003,,,,
Room,U11_S2_SS5_B2_R1,U11_S2_SS5_B2_R1_SRVR45,Application,Application Server,Server,HP,ProLiant DL380 Gen9,,CZ29490PNS,,Windows | XP,,,,
Room,U11_S2_SS5_B2_R1,U11_S2_SS5_B2_R1_SRVR70,Video Server,Video Wall Server,Video SRV,ASUS,NGP-410,,8BX1F5J,,Windows | Server 2012,,,,
Room,U11_S3_SS1_B1_R1,U11_S3_SS1_B1_R1_EWS1,Engineering WS,Engineering Workstation,Workstation,Dell,Optiplex 5050 Mini Tower,,190SFS2,,Windows | Server 2016,,,,
Room,U11_S3_SS1_B1_R1,U11_S3_SS1_B1_R1_EWS10,Engineering WS,Engineering Workstation,Workstation,HP,Compaq,,CZC2030162,,Windows | 7 Ultimate,,,,
Room,U11_S3_SS1_B1_R1,U11_S3_SS1_B1_R1_EWS15,Engineering WS,Engineering Workstation,Workstation,HP,Compaq 8200 Elite SFF PC,,CZC20301BL,,Windows | Server 2012,,,,
Room,U11_S3_SS1_B1_R1,U11_S3_SS1_B1_R1_EWS9,Engineering WS,Engineering Workstation,Workstation,HP,500B,,4CE1071249,,Windows | 7 Professional,,,,
Room,U11_S3_SS1_B1_R1,U11_S3_SS1_B1_R1_SRVR16,SCADA,SCADA Server,Server,HP,ProLiant DL380 Gen10,,CZ210205ZL,,Linux,,,,
Room,U11_S3_SS1_B1_R1,U11_S3_SS1_B1_R1_SRVR20,SCADA,SCADA Server,Server,HP,ProLiant DL380 Gen10,,CZ2928012J,,Windows | 7 Ultimate,,,,
Room,U11_S3_SS1_B2_R1,U11_S3_SS1_B2_R1_EWS1,Engineering WS,Engineering Workstation,Workstation,Dell,Optiplex 5050 Mini Tower,,190SFS2,,Windows | Server 2016,,,,
Room,U11_S3_SS1_B2_R1,U11_S3_SS1_B2_R1_SRVR31,HMI,HMI Server,Server,HP,ProLiant DL380 Gen10,,CZ29490PNK,,Linux,,,,
Room,U11_S3_SS1_B2_R1,U11_S3_SS1_B2_R1_SRVR68,Web,Web Server,Server ,Dell,PowerEdge T40,,FWKGG52,,Windows | Server 2003,,,,
Room,U11_S3_SS2_B1_R1,U11_S3_SS2_B1_R1_EWS8,Engineering WS,Engineering Workstation,Workstation,Dell,OptiPlex 9020,,JM5ZW02,,Windows | 10 Professional,,,,
Room,U11_S3_SS2_B1_R1,U11_S3_SS2_B1_R1_SRVR25,HMI,HMI Server,Server,HP,ProLiant DL380 Gen10,,CZ29490PN8,,Windows | Server 2012,,,,
Room,U11_S3_SS2_B2_R1,U11_S3_SS2_B2_R1_OWS8,Operator WS,Operator Workstation,Workstation,HP,EliteDesk 800 G4 WKS TWR,,CZC9509H6V,,Windows | 10 Professional,,,,
Room,U11_S3_SS2_B2_R1,U11_S3_SS2_B2_R1_SRVR19,SCADA,SCADA Server,Server,HP,ProLiant DL380 Gen10,,CZ21270CSC,,Windows | 7 Professional,,,,
Room,U11_S3_SS2_B2_R1,U11_S3_SS2_B2_R1_SRVR26,HMI,HMI Server,Server,HP,ProLiant DL380 Gen10,,CZ29490PNB,,Windows | Server 2016,,,,
Room,U11_S3_SS2_B2_R1,U11_S3_SS2_B2_R1_SRVR3,Historian,Historian Server,Server,HP,ProLiant DL120 Gen9,,CZJ44209T0,,Windows | 10 Professional,,,,
Room,U11_S3_SS2_B2_R1,U11_S3_SS2_B2_R1_SRVR51,Application,Application Server,Server,HP,ProLiant ML350 Gen10,,CZJ9490CR0,,Windows | 8 Professional,,,,
Room,U11_S3_SS3_B1_R1,U11_S3_SS3_B1_R1_SRVR4,Historian,Historian Server,Server,HP,ProLiant DL360e Gen8,,CZJ44209T1      ,,Windows | 7 Professional,,,,
Room,U11_S3_SS3_B1_R1,U11_S3_SS3_B1_R1_SRVR41,DNS,DNS Server,Server,HP,ProLiant DL380 Gen10,,CZ29490PNY,,Windows | Server 2016,,,,
Room,U11_S3_SS3_B1_R1,U11_S3_SS3_B1_R1_SRVR70,Video Server,Video Wall Server,Video SRV,ASUS,NGP-410,,8BX1F5J,,Windows | Server 2012,,,,
Room,U11_S3_SS3_B2_R1,U11_S3_SS3_B2_R1_EWS7,Engineering WS,Engineering Workstation,Workstation,Dell,OptiPlex 9020,,7M36X02,,Windows | 10 Enterprise,,,,
Room,U11_S3_SS3_B2_R1,U11_S3_SS3_B2_R1_OWS17,Operator WS,Operator Workstation,Workstation,HP,EliteDesk 800 G5 SFF,,CZC9509H6Y,,Windows | Server 2016 Datacenter,,,,
Room,U11_S3_SS3_B2_R1,U11_S3_SS3_B2_R1_SRVR17,SCADA,SCADA Server,Server,HP,ProLiant DL380 Gen10,,CZ210205ZM,,Windows | 10 Enterprise,,,,
Room,U11_S3_SS3_B2_R1,U11_S3_SS3_B2_R1_SRVR18,SCADA,SCADA Server,Server,HP,ProLiant DL380 Gen10,,CZ2109022Y,,Windows | 10 Professional,,,,
